iter	Passed	Remaining
913	11599	1091
914	11612	1078
915	11625	1066
916	11638	1053
917	11650	1040
918	11662	1027
919	11674	1015
920	11686	1002
921	11698	989
922	11710	976
923	11722	964
924	11735	951
925	11747	938
926	11759	926
927	11771	913
928	11783	900
929	11795	887
930	11807	875
931	11818	862
932	11829	849
933	11841	836
934	11853	824
935	11866	811
936	11878	798
937	11890	785
938	11902	773
939	11914	760
940	11926	747
941	11938	735
942	11949	722
943	11961	709
944	11973	696
945	11984	684
946	11997	671
947	12010	658
948	12023	646
949	12035	633
950	12046	620
951	12058	608
952	12071	595
953	12083	582
954	12095	569
955	12107	557
956	12119	544
957	12132	531
958	12145	519
959	12157	506
960	12169	493
961	12181	481
962	12193	468
963	12205	455
964	12217	443
965	12230	430
966	12242	417
967	12254	405
968	12267	392
969	12280	379
970	12293	367
971	12305	354
972	12317	341
973	12328	329
974	12341	316
975	12353	303
976	12365	291
977	12377	278
978	12390	265
979	12401	253
980	12414	240
981	12436	227
982	12457	215
983	12473	202
984	12486	190
985	12499	177
986	12513	164
987	12527	152
988	12543	139
989	12557	126
990	12570	114
991	12582	101
992	12596	88
993	12609	76
994	12621	63
995	12634	50
996	12647	38
997	12660	25
998	12672	12
999	12684	0
